SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
24799,75141,1,Star Wars,Rebels,2016,Kanan's Speeder Bike,,,,,,,http://images.brickset.com/sets/images/75141-1.jpg,No,No,0
24960,75142,1,Star Wars,Episode II,2016,Homing Spider Droid,,,,,,,,No,No,0
24961,75143,1,Star Wars,,2016,A-Wing Starfighter,,,,,,,,No,No,0
25727,75144,1,Star Wars,Ultimate Collectors Series,2016,Snowspeeder,,,,,,,,No,No,0
25605,75146,1,Star Wars,Seasonal,2016,Star Wars Advent Calendar,,,,,,,,No,No,0
25606,75148,1,Star Wars,,2016,{?},,,,,,,,No,No,0
25864,75159,1,Star Wars,Ultimate Collector Series,2016,The Death Star,,,,,,,,No,No,0
24865,5004822,1,Star Wars,Virtual Product Collection,2015,Buildable Figures Collection,,,,149.94,189.94,,http://images.brickset.com/sets/images/5004822-1.jpg,No,No,0
9416,PROMOSW002,1,Star Wars,Promotional,2005,Anakin Skywalker (International Toy Fair 2005 Exclusive Figure),,,,0,,,,No,No,0
9415,PROMOSW003,1,Star Wars,Promotional,2005,Luminara Unduli (International Toy Fair 2005 Exclusive Figure),,,,,,,,No,No,0
25863,SW911506,1,Star Wars,Magazine Gift,2015,Snowspeeder,,,,,,,http://images.brickset.com/sets/images/SW911506-1.jpg,No,No,0
24827,SW911508,1,Star Wars,Magazine Gift,2015,Mini Slave I,,,,,,,http://images.brickset.com/sets/images/SW911508-1.jpg,No,No,0
24966,SW911509,1,Star Wars,Magazine Gift,2015,Imperial Shooter,,,,,,,http://images.brickset.com/sets/images/SW911509-1.jpg,No,No,0
25595,SW911510,1,Star Wars,Magazine Gift,2015,Micro Star Destroyer and TIE Fighter,,,,,,,http://images.brickset.com/sets/images/SW911510-1.jpg,No,No,0
25652,SW911511,1,Star Wars,Magazine Gift,2015,Jedi Weapon Stand,,,,,,,http://images.brickset.com/sets/images/SW911511-1.jpg,No,No,0
